hotel_212,Hotel Maritime,"19 Peder Skrams Gade, 1054 Copenhagen, Denmark",Copenhagen
hotel_213,Scandic Kødbyen,"3 Skelbækgade, Vesterbro, 1717 Copenhagen, Denmark",Copenhagen
hotel_214,citizenM Copenhagen Radhuspladsen,"H.C. Andersens Boulevard 12, 1553 Copenhagen, Denmark",Copenhagen
hotel_215,Copenhagen Go Hotel,"Gemmas Alle 203, 2770 Copenhagen, Denmark",Copenhagen
hotel_216,Generator Copenhagen,"Adelgade 5 -7, 1304 Copenhagen, Denmark",Copenhagen
hotel_217,STAY Bryggen,"Knud Kristensens Gade 6, Amager Vest, 2300 Copenhagen, Denmark",Copenhagen
hotel_218,STAY Nordhavn,"5 Fortkaj, Østerbro, 2150 Copenhagen, Denmark",Copenhagen
hotel_219,"Crowne Plaza Copenhagen Towers, an IHG Hotel","Ørestads Boulevard 114-118, Amager Vest, 2300 Copenhagen, Denmark",Copenhagen
hotel_220,Clarion Hotel Copenhagen Airport,"Ellehammersvej 20, 2770 Copenhagen, Denmark",Copenhagen
hotel_221,Zleep Hotel Copenhagen Airport,"Løjtegaardsvej 97A, 2770 Copenhagen, Denmark",Copenhagen
hotel_222,Scandic Falkoner,"Falkoner Alle 9, Frederiksberg, 2000 Copenhagen, Denmark",Copenhagen
hotel_223,Ascot Hotel,"Studiestræde 61, 1554 Copenhagen, Denmark",Copenhagen
hotel_224,Scandic Copenhagen,"Vester Søgade 6, 1601 Copenhagen, Denmark",Copenhagen
hotel_225,Moxy Copenhagen Sydhavnen,"Sydhavns Plads 2, Sydhavnen, 2450 Copenhagen, Denmark",Copenhagen
hotel_226,Cabinn Apartments,"Arne Jacobsens Allé 4, Amager Vest, 2300 Copenhagen, Denmark",Copenhagen
hotel_227,Hotel Skt. Annæ,"Sankt Annae Plads 14-20, 1250 Copenhagen, Denmark",Copenhagen
hotel_228,Scandic Palace Hotel,"Rådhuspladsen 57, 1550 Copenhagen, Denmark",Copenhagen
hotel_229,Charlottehaven,"12C Hjørringgade, Østerbro, 2100 Copenhagen, Denmark",Copenhagen
hotel_230,Comfort Hotel Vesterbro,"Vesterbrogade 23-29, Vesterbro, 1620 Copenhagen, Denmark",Copenhagen
hotel_231,STAY Seaport,"Murmanskgade 15, Østerbro, 2150 Copenhagen, Denmark",Copenhagen
hotel_232,CPH Hotel,"Tietgensgade 65, Vesterbro, 1704 Copenhagen, Denmark",Copenhagen
hotel_233,Scandic Spectrum,"10 Kalvebod Brygge, 1560 Copenhagen, Denmark",Copenhagen
hotel_234,Scandic CPH Strandpark,"401 Amager Strandvej, 2770 Copenhagen, Denmark",Copenhagen
hotel_235,NH Collection Copenhagen,"Strandgade 7, Christianshavn, 1401 Copenhagen, Denmark",Copenhagen
hotel_236,Hotel Mayfair,"Helgolandsgade 3, Vesterbro, 1653 Copenhagen, Denmark",Copenhagen
hotel_237,Scandic Norreport,"18 Frederiksborggade, 1360 Copenhagen, Denmark",Copenhagen
hotel_238,Grand Joanne,"Vesterbrogade 9, Vesterbro, DK-1620 Copenhagen, Denmark",Copenhagen
hotel_239,Hotel Tiffany,"Colbjørnsensgade 28, Vesterbro, 1652 Copenhagen, Denmark",Copenhagen
hotel_300,SmartStay at Grande Signature - Downtown Dubai City Views - Brand New Luxury Apartments,"Grande Signature Residences, Opera District, Downtown Dubai, Dubai, United Arab Emirates",Dubai
hotel_301,ibis Styles Dubai Airport Hotel,"Casablanca St Off Airport Road Al Garhoud Next to Ggico Metro Station, Garhoud, 13868 Dubai, United Arab Emirates",Dubai
hotel_302,Resivation Hotel,"Resivation Al Furjan Dubai, Dubai, United Arab Emirates",Dubai
hotel_303,"Lemon Tree Hotel, Jumeirah Dubai","Al Wasl Road, Umm Al Sheif, Jumeirah Dubai 122487, United Arab Emirates, Dubai, United Arab Emirates",Dubai
hotel_304,Centara Mirage Beach Resort Dubai,"Dubai Islands, Dubai, United Arab Emirates",Dubai
