Destination,Flight Price,Departure,Return Trip,Route from Origin,Route from Destination
Copenhagen,€419,Sun Mar 2nd 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€447,Sun Mar 2nd 2025,Mon Mar 31st 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€447,Sun Mar 2nd 2025,Mon Mar 31st 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€451,Sun Mar 2nd 2025,Tue Apr 1st 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€451,Sun Mar 2nd 2025,Thu Apr 3rd 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€451,Sun Mar 2nd 2025,Wed Apr 2nd 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€501,Tue Mar 4th 2025,Sat Mar 8th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€1011,Mon Feb 10th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€1144,Sun Feb 9th 2025,Thu Mar 13th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Rome,€143.93,Sat Feb 22nd 2025,Sat Mar 22nd 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€145,Sat Feb 22nd 2025,Fri Mar 21st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€146.65,Sat Feb 22nd 2025,Fri Mar 14th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€152.54,Sat Feb 22nd 2025,Thu Apr 3rd 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€152.54,Sat Feb 22nd 2025,Sat Mar 15th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€153.22,Sat Feb 22nd 2025,Fri Mar 7th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€154.54,Sat Feb 22nd 2025,Mon Mar 31st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€154.54,Sat Feb 22nd 2025,Wed Apr 2nd 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€154.54,Sat Feb 22nd 2025,Mon Mar 31st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€154.54,Sat Feb 22nd 2025,Wed Apr 2nd 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€155.28,Sat Feb 22nd 2025,Sat Mar 8th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€155.41,Sat Feb 22nd 2025,Sat Mar 29th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€156.62,Sat Feb 22nd 2025,Tue Apr 1st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€156.62,Sat Feb 22nd 2025,Tue Apr 1st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€156.62,Sat Feb 22nd 2025,Sun Mar 30th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (FRA)
Rome,€157.34,Sun Feb 23rd 2025,Sat Mar 22nd 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€157.47,Sat Feb 22nd 2025,Fri Mar 28th 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
Rome,€158.43,Sun Feb 23rd 2025,Fri Mar 21st 2025,Frankfurt (HHN) → Rome (FCO),Rome (FCO) → Frankfurt (HHN)
