price_id,hotel_id,room_type,total_price
price_753,hotel_655,Double bed,"Der aktuelle Preis beträgt 47 €.47 €"
price_756,hotel_656,Double bed,"Der aktuelle Preis beträgt 174 €.174 €"
price_759,hotel_657,Double bed,"Der aktuelle Preis beträgt 150 €.150 €"
price_762,hotel_658,Double bed,"Der aktuelle Preis beträgt 131 €.131 €"
price_765,hotel_659,Double bed,"Der aktuelle Preis beträgt 141 €.141 €"
price_768,hotel_660,Double bed,"Der aktuelle Preis beträgt 108 €.108 €"
price_771,hotel_661,Double bed,"Der aktuelle Preis beträgt 128 €.128 €"
price_774,hotel_662,Double bed,"Der aktuelle Preis beträgt 237 €.237 €"
price_777,hotel_663,Double bed,"Der aktuelle Preis beträgt 100 €.100 €"
price_780,hotel_664,Double bed,"Der aktuelle Preis beträgt 167 €.167 €"
price_783,hotel_665,Double bed,"Der aktuelle Preis beträgt 121 €.121 €"
price_786,hotel_666,Double bed,"Der aktuelle Preis beträgt 227 €.227 €"
price_789,hotel_667,Double bed,"Der aktuelle Preis beträgt 60 €.60 €"
price_792,hotel_668,Double bed,"Der aktuelle Preis beträgt 120 €.120 €"
price_795,hotel_669,Double bed,"Der aktuelle Preis beträgt 192 €.192 €"
price_798,hotel_670,Double bed,"Der aktuelle Preis beträgt 163 €.163 €"
price_801,hotel_671,Double bed,"Der aktuelle Preis beträgt 70 €.70 €"
price_804,hotel_672,Double bed,"Der aktuelle Preis beträgt 170 €.170 €"
price_807,hotel_673,Double bed,"Der aktuelle Preis beträgt 68 €.68 €"
price_810,hotel_674,Double bed,"Der aktuelle Preis beträgt 208 €.208 €"
price_813,hotel_675,Double bed,"Der aktuelle Preis beträgt 163 €.163 €"
price_816,hotel_676,Double bed,"Der aktuelle Preis beträgt 314 €.314 €"
price_819,hotel_677,Double bed,"Der aktuelle Preis beträgt 131 €.131 €"
price_822,hotel_678,Double bed,"Der aktuelle Preis beträgt 128 €.128 €"
price_825,hotel_679,Double bed,"Der aktuelle Preis beträgt 70 €.70€"
price_828,hotel_680,Double bed,"Der aktuelle Preis beträgt 134 €.134 €"
price_831,hotel_681,Double bed,"Der aktuelle Preis beträgt 100 €.100 €"
price_834,hotel_682,Double bed,"Der aktuelle Preis beträgt 129 €129 €"
price_837,hotel_683,Double bed,"Der aktuelle Preis beträgt 161 €.161 €"
price_840,hotel_684,Double bed,"Der aktuelle Preis beträgt 122 €.122 €"
price_843,hotel_685,Double bed,"Der aktuelle Preis beträgt 116 €.116 €"
price_846,hotel_686,Double bed,"Der aktuelle Preis beträgt 63 €.63 €"
price_849,hotel_687,Double bed,"Der aktuelle Preis beträgt 162 €.162 €"
price_852,hotel_688,Double bed,"Der aktuelle Preis beträgt 220 €.220 €"
price_855,hotel_689,Double bed,"Der aktuelle Preis beträgt 160 €.160 €"
price_858,hotel_690,Double bed,"Der aktuelle Preis beträgt 89 €.89 €"
price_861,hotel_691,Double bed,"Der aktuelle Preis beträgt 162 €.162 €"
price_864,hotel_692,Double bed,"Der aktuelle Preis beträgt 61 €.61 €"
price_867,hotel_693,Double bed,"Der aktuelle Preis beträgt 124 €.124 €"
price_870,hotel_694,Double bed,"Der aktuelle Preis beträgt 79 €.79 €"
price_873,hotel_695,Double bed,"Der aktuelle Preis beträgt 677 €.677 €"
price_876,hotel_696,Double bed,"Der aktuelle Preis beträgt 483 €.483 €"
price_879,hotel_697,Double bed,"Der aktuelle Preis beträgt 249 €.249 €"
price_882,hotel_698,Double bed,"Der aktuelle Preis beträgt 693 €.693 €"
price_885,hotel_699,Double bed,"Der aktuelle Preis beträgt 153 €.153 €"
price_888,hotel_700,Double bed,"Der aktuelle Preis beträgt 426 €.426 €"
price_891,hotel_701,Double bed,"Der aktuelle Preis beträgt 99 €.99 €"
price_894,hotel_702,Double bed,"Der aktuelle Preis beträgt 172 €.172 €"
price_897,hotel_703,Double bed,"Der aktuelle Preis beträgt 294 €.294 €"
price_900,hotel_704,Double bed,"Der aktuelle Preis beträgt 131 €.131 €"
price_903,hotel_705,Double bed,"Der aktuelle Preis beträgt 156 €.156 €"
price_906,hotel_706,Double bed,"Der aktuelle Preis beträgt 223 €.223 €"
price_909,hotel_707,Double bed,"Der aktuelle Preis beträgt 424 €.424 €"
price_912,hotel_708,Double bed,"Der aktuelle Preis beträgt 179 €.179 €"
price_709,hotel_709,Double bed,"Der aktuelle Preis beträgt 145 €.145 €"
price_712,hotel_710,Double bed,"Der aktuelle Preis beträgt 91 €.91 €"
price_715,hotel_711,Double bed,"Der aktuelle Preis beträgt 68 €.68 €"
price_718,hotel_712,Double bed,"Der aktuelle Preis beträgt 98 €.98 €"
price_721,hotel_713,Double bed,"Der aktuelle Preis beträgt 69 €.69 €"
price_724,hotel_714,Double bed,"Der aktuelle Preis beträgt 151 €.151 €"
price_727,hotel_715,Double bed,"Der aktuelle Preis beträgt 120 €.120 €"
price_730,hotel_716,Double bed,"Der aktuelle Preis beträgt 66 €.66 €"
price_733,hotel_717,Double bed,"Der aktuelle Preis beträgt 70 €.70 €"
price_736,hotel_718,Double bed,"Der aktuelle Preis beträgt 127 €.127 €"
price_739,hotel_719,Double bed,"Der aktuelle Preis beträgt 121 €.121 €"
price_745,hotel_721,Double bed,"Der aktuelle Preis beträgt 172 €.172 €"
price_748,hotel_722,Double bed,"Der aktuelle Preis beträgt 136 €.136 €"
price_751,hotel_723,Double bed,"Der aktuelle Preis beträgt 162 €.162 €"
price_757,hotel_725,Double bed,"Der aktuelle Preis beträgt 261 €.261 €"
price_760,hotel_726,Double bed,"Der aktuelle Preis beträgt 178 €.178 €"
price_763,hotel_727,Double bed,"Der aktuelle Preis beträgt 238 €.238 €"
price_766,hotel_728,Double bed,"Der aktuelle Preis beträgt 140 €.140 €"
