hotel_id,hotel_name,hotel_address,hotel_city
hotel_613,XVA Art Hotel,Al Fahidi Neighborhood  Bur Dubai  Dubai,Dubai
hotel_614,Private UNISEX Loft rooms Near Bur Dubai,7 14 St  Dubai  Dubai,Dubai
hotel_615,Sonder Business Bay,6B Marasi Drive  Dubai  DU  00000,Dubai
hotel_616,CAPE TOWN HOTEL,Sabka Bus Station  Deira  Dubai  Dubai,Dubai
hotel_618,Arabian Boutique Hotel,Al Fahidi St  Dubai  Dubai,Dubai
hotel_619,"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",Al Seef Street  Dubai Creek  Dubai  35449,Dubai
hotel_620,City Relax Hotel,Al Sabkha Rd  Dubai  Dubai  971,Dubai
hotel_622,London Hotel,Al Sabkha Road   Dubai  Deira  0000,Dubai
hotel_623,Three 888 Hotel,Al Burj St  Dubai  Dubai,Dubai
hotel_624,Wescott Hotel,No. 32795 Al Souq Al Kabeer  Dubai  Dubai  32795,Dubai
hotel_625,Collection O Phoenix Hotel,28  St.28 C  Community 118  Nakheel Area  Dubai  Dubai  39674,Dubai
hotel_626,Pullman Dubai Creek City Centre,Port Saeed Road Baniyas Street  Dubai  61871,Dubai
hotel_627,Riviera Hotel Dubai,Baniyas Road 5  Deira  Dubai,Dubai
hotel_628,Arabian Courtyard Hotel & Spa,Al Fahidi Street  Bur Dubai  Dubai  46500,Dubai
hotel_629,"Radisson Blu Hotel, Dubai Deira Creek",Bani Yas Road  Deira  Dubai  476,Dubai
hotel_630,Queen Elizabeth 2 Hotel,Mina Rashid Marina  Bur Dubai District  Dubai  6769,Dubai
hotel_631,Family Double Partition Room in Bur Dubai,Al Rolla Rd  Dubai  Dubai,Dubai
hotel_632,Florida City Hotel Apartments,Baniyas Square  Deira  P.O. Box 49530  Dubai  Dubai,Dubai
hotel_633,Hyatt Regency Dubai,Deira Corniche Alkhaleej Road  Dubai,Dubai
hotel_634,Maaeen Hotel,10th Street  Al butteen Rd  Deria  Dubai  Dubai  78273,Dubai
hotel_635,Millennium Plaza Downtown Suites,Sheikh Zayed Al Nahyan Road  Dubai,Dubai
hotel_636,Taj Dubai,Burj Khalifa Street  Dubai  8489,Dubai
hotel_637,White Fort Hotel,Nasser Square  Near Baniyas  Metro Station  Dubai  83163,Dubai
hotel_639,Ibis Styles Dubai Deira,Maitha Plaza  Al Khaleej Road 110  Deira  Dubai,Dubai
hotel_640,New California Hotel,Al Nakhal Rd  Dubai  Dubai,Dubai
hotel_641,Florida Square Hotel,Sabkha Street  Deira  near Sabkha Bus station  Dubai  Dubai,Dubai
hotel_642,MOUNT SINA HOTEL BY AURA,Al Sabkha Rd  Dubai  Dubai,Dubai
hotel_643,Swissotel Al Ghurair,Omar Bin Al Khattab Street  Dubai  185051,Dubai
hotel_644,Super 8 by Wyndham Dubai Deira,Maryam Plaza 1  Al Daghaya Rd- 113  Deira  Dubai  119303,Dubai
hotel_645,Majestic Premier Hotel,Khalid Bin Waleed  Dubai,Dubai
