image_id,hotel_id,image_path
hotelimage_668,hotel_668,new_hotels_images/hotel_668.jpg
hotelimage_669,hotel_669,new_hotels_images/hotel_669.jpg
hotelimage_670,hotel_670,new_hotels_images/hotel_670.jpg
hotelimage_671,hotel_671,new_hotels_images/hotel_671.jpg
hotelimage_672,hotel_672,new_hotels_images/hotel_672.jpg
hotelimage_673,hotel_673,new_hotels_images/hotel_673.jpg
hotelimage_674,hotel_674,new_hotels_images/hotel_674.jpg
hotelimage_675,hotel_675,new_hotels_images/hotel_675.jpg
hotelimage_676,hotel_676,new_hotels_images/hotel_676.jpg
hotelimage_677,hotel_677,new_hotels_images/hotel_677.jpg
hotelimage_678,hotel_678,new_hotels_images/hotel_678.jpg
hotelimage_679,hotel_679,new_hotels_images/hotel_679.jpg
hotelimage_680,hotel_680,new_hotels_images/hotel_680.jpg
hotelimage_681,hotel_681,new_hotels_images/hotel_681.jpg
hotelimage_682,hotel_682,new_hotels_images/hotel_682.jpg
hotelimage_683,hotel_683,new_hotels_images/hotel_683.jpg
hotelimage_684,hotel_684,new_hotels_images/hotel_684.jpg
hotelimage_685,hotel_685,new_hotels_images/hotel_685.jpg
hotelimage_686,hotel_686,new_hotels_images/hotel_686.jpg
hotelimage_687,hotel_687,new_hotels_images/hotel_687.jpg
hotelimage_688,hotel_688,new_hotels_images/hotel_688.jpg
hotelimage_689,hotel_689,new_hotels_images/hotel_689.jpg
hotelimage_690,hotel_690,new_hotels_images/hotel_690.jpg
hotelimage_691,hotel_691,new_hotels_images/hotel_691.jpg
hotelimage_692,hotel_692,new_hotels_images/hotel_692.jpg
hotelimage_693,hotel_693,new_hotels_images/hotel_693.jpg
hotelimage_694,hotel_694,new_hotels_images/hotel_694.jpg
hotelimage_695,hotel_695,new_hotels_images/hotel_695.jpg
hotelimage_696,hotel_696,new_hotels_images/hotel_696.jpg
hotelimage_697,hotel_697,new_hotels_images/hotel_697.jpg
hotelimage_698,hotel_698,new_hotels_images/hotel_698.jpg
hotelimage_699,hotel_699,new_hotels_images/hotel_699.jpg
hotelimage_700,hotel_700,new_hotels_images/hotel_700.jpg
hotelimage_701,hotel_701,new_hotels_images/hotel_701.jpg
hotelimage_702,hotel_702,new_hotels_images/hotel_702.jpg
hotelimage_703,hotel_703,new_hotels_images/hotel_703.jpg
hotelimage_704,hotel_704,new_hotels_images/hotel_704.jpg
hotelimage_705,hotel_705,new_hotels_images/hotel_705.jpg
hotelimage_706,hotel_706,new_hotels_images/hotel_706.jpg
hotelimage_707,hotel_707,new_hotels_images/hotel_707.jpg
hotelimage_708,hotel_708,new_hotels_images/hotel_708.jpg
hotelimage_709,hotel_709,new_hotels_images/hotel_709.jpg
hotelimage_710,hotel_710,new_hotels_images/hotel_710.jpg
hotelimage_711,hotel_711,new_hotels_images/hotel_711.jpg
hotelimage_712,hotel_712,new_hotels_images/hotel_712.jpg
hotelimage_713,hotel_713,new_hotels_images/hotel_713.jpg
hotelimage_714,hotel_714,new_hotels_images/hotel_714.jpg
hotelimage_715,hotel_715,new_hotels_images/hotel_715.jpg
hotelimage_716,hotel_716,new_hotels_images/hotel_716.jpg
hotelimage_717,hotel_717,new_hotels_images/hotel_717.jpg
hotelimage_718,hotel_718,new_hotels_images/hotel_718.jpg
hotelimage_719,hotel_719,new_hotels_images/hotel_719.jpg
hotelimage_721,hotel_721,new_hotels_images/hotel_721.jpg
hotelimage_722,hotel_722,new_hotels_images/hotel_722.jpg
hotelimage_723,hotel_723,new_hotels_images/hotel_723.jpg
hotelimage_725,hotel_725,new_hotels_images/hotel_725.jpg
hotelimage_726,hotel_726,new_hotels_images/hotel_726.jpg
hotelimage_727,hotel_727,new_hotels_images/hotel_727.jpg
hotelimage_728,hotel_728,new_hotels_images/hotel_728.jpg
hotelimage_729,hotel_729,new_hotels_images/hotel_729.jpg
hotelimage_732,hotel_732,new_hotels_images/hotel_732.jpg
