hotel_id,hotel_name,hotel_address,hotel_city,hotel_UUID
hotel_112,HT Residence Maximus,"Via Capo D'Africa 20-30 (Check-in at Piazza del Colosseo, 9), 00184 Rome, Italy",Rome,ce6e32af-eaa2-45d1-853e-221fa45180d2
hotel_113,Affreschi Su Roma Luxury B&B,"Via Giuseppe Zanardelli 7, Navona, 00186 Rome, Italy",Rome,b6fbdbf8-5971-4817-9d3b-1915f2b9bc3a
hotel_114,Trevi Private Suites by Premium Suites Collection,"Via Zucchelli n. 32, Trevi, 00187 Rome, Italy",Rome,af790d99-2bc8-4780-9c89-3543d72c0843
hotel_115,Borgo Pio 91,"Borgo Pio 91, Vaticano Prati, 00100 Rome, Italy",Rome,1fa6e1e6-0020-448c-a976-ae883373ad7d
hotel_116,LE RÊVE DE NAIM Roma,"Via Mario De' Fiori 3, Spagna, 00187 Rome, Italy",Rome,dba266ea-90a4-4ee2-835e-8f425c39e89c
hotel_117,Morin 10 Rome Exclusive Suites,"Via Costantino Morin 10, Vaticano Prati, 00195 Rome, Italy",Rome,effe4798-998d-4f87-9409-f3a58185c5dc
hotel_118,San Pietro Grand Suite,"6 Via Ottaviano, Vaticano Prati, 00192 Rome, Italy",Rome,e970e248-5208-4f93-b1c6-8cd0899f4a27
hotel_119,Roman Holidays Boutique Hotel,"Via Cavour 47, Central Station, 00184 Rome, Italy",Rome,b026350a-9bb6-41ae-a853-92d4beb657f7
hotel_120,Home at Rome Vatican Apartment&Rooms,"13 Piazza Stazione di San Pietro, Aurelio, 00165 Rome, Italy",Rome,f48445cb-4c4a-44f2-9b79-167415592e56
hotel_121,Il Corso Comfort Rooms,"Via Della Fontanella 4, Spagna, 00187 Rome, Italy",Rome,d84f1083-1821-4e2c-98ad-87c81ef3823f
hotel_122,PAX hotel,"Via di Campo Marzio 12, Spagna, 00186 Rome, Italy",Rome,cb1f50a2-19c2-4eb1-9f53-6831015b73d4
hotel_123,Hotel Cortina,"Via Nazionale 18, Central Station, 00184 Rome, Italy",Rome,2b813dd7-37b7-4e9b-9281-36945c667ee8
hotel_124,Hotel dei Barbieri,"Via Dei Barbieri 3A, Pantheon, 00186 Rome, Italy",Rome,d6911690-688b-4f5d-9a6e-49f751975896
hotel_125,Rome Frattina27,"Via Frattina 27, Spagna, 00187 Rome, Italy",Rome,4026c716-b9e1-4e07-913d-3a793fca366e
hotel_126,Archi di Roma Guest House,"13 Via Enrico Cialdini A building, 5th floor, Central Station, 00185 Rome, Italy",Rome,9e325a45-067a-4929-9094-44d94d69e67c
hotel_127,Fellini Design Suites,"Piazza di Spagna 32 - terzo piano interno 3, Spagna, 00187 Rome, Italy",Rome,b793abb9-3c9c-404d-90fa-2b51455fb392
